ts,unit,code,description,detail,data
20250203 15:21:29,BMS 1,6,Start discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 66 %. SOH: 100 %. Battery voltage: 210.4 V. Output voltage: 211.1 V. Output current: 4.0 A. Cell max voltage: 3290 mV. Cell min voltage: 3284 mV. Cell max temp: 21 °C. Cell min temp: 20 °C.",000000000000000018426438083f082800da0cd40c1514
20250203 15:21:29,BMS 2,6,Start discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 64 %. SOH: 100 %. Battery voltage: 210.4 V. Output voltage: 211.1 V. Output current: 3.9 A. Cell max voltage: 3289 mV. Cell min voltage: 3287 mV. Cell max temp: 21 °C. Cell min temp: 20 °C.",000000000000000018406438083f082700d90cd70c1514
20250203 15:47:26,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 65 %. SOH: 100 %. Battery voltage: 211.7 V. Output voltage: 212.7 V. Output current: -0.5 A. Cell max voltage: 3310 mV. Cell min voltage: 3304 mV. Cell max temp: 21 °C. Cell min temp: 20 °C.",000000000000000018416445084f08fbffee0ce80c1514
20250203 15:57:38,BMS 1,6,Start discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 64 %. SOH: 100 %. Battery voltage: 209.6 V. Output voltage: 210.3 V. Output current: 3.8 A. Cell max voltage: 3277 mV. Cell min voltage: 3272 mV. Cell max temp: 21 °C. Cell min temp: 20 °C.",0000000000000000184064300837082600cd0cc80c1514
20250203 17:45:52,BMS 1,18,Stop balancing,Cell min voltage: 3271 mV.,000000000000000000000000000000000000000000c70c
20250203 22:13:10,BMS 1,7,Stop discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 209.5 V. Output voltage: 210.3 V. Output current: 0.0 A. Cell max voltage: 3277 mV. Cell min voltage: 3268 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001828642f0837080000cd0cc40c1312
20250203 22:13:11,BMS 2,7,Stop discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 209.5 V. Output voltage: 208.7 V. Output current: 0.0 A. Cell max voltage: 3275 mV. Cell min voltage: 3272 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001827642f0827080000cb0cc80c1312
20250204 10:41:19,BMS 2,3,Timing record,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 210.1 V. Output voltage: 211.1 V. Output current: 0.0 A. Cell max voltage: 3285 mV. Cell min voltage: 3283 mV. Cell max temp: 18 °C. Cell min temp: 18 °C.",000000000000000018266435083f080000d50cd30c1212
20250204 10:41:30,BMS 1,3,Timing record,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 210.1 V. Output voltage: 211.1 V. Output current: 0.0 A. Cell max voltage: 3286 mV. Cell min voltage: 3276 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",000000000000000018276435083f080000d60ccc0c1312
20250204 10:41:35,BMU,118,System timing,Status: Active. Environment min temp: 21 °C. Environment max temp: 26 °C. SOC: 39 %. SOH: 100 %. Battery temp: 18 °C. Battery voltage: 210.1 V. Cell max voltage: 3286 mV. Cell min voltage: 3276 mV. Battery max temp: 21 °C. Battery min temp: 18 °C.,03151a27641208350cd60ccc00150012000000000000ff
20250204 10:46:34,BMU,36,Functional safety info,Running time: 691500 s. Cells: 64. Temperature sensors: 32. Cell max voltage: 3286 mV. Cell min voltage: 3276 mV. Cell max temp: 18 °C. Cell min temp: 17 °C. Output current: 0.0 A. Output voltage: 211.9 V. Accumulated voltage: 210.1 V. BMS address: 1. Module type: HVM. Modules: 4.,000a8d2c40200cd60ccc12110000084708350101040000
20250204 10:46:34,BMS 2,111,Time calibrated,Date time set to 2025-02-04 10:46:34.,1902040a2e22ffffffffffffffffffffffffffffffffff
20250204 10:46:35,BMS 1,111,Time calibrated,Date time set to 2025-02-04 10:46:35.,1902040a2e23ffffffffffffffffffffffffffffffffff
